experimento,parametro,valor,semilla,ganador,turnos,insolvencias,provincias_ganador,tropas_ganador
desgaste,kBeta,0.9,1054,grecia,21,8,11,0
desgaste,kBeta,0.9,1055,galia,200,366,10,0
desgaste,kBeta,0.9,1056,galia,200,358,9,0
desgaste,kBeta,0.9,1057,galia,200,366,10,0
desgaste,kBeta,0.9,1058,galia,200,358,9,0
desgaste,kBeta,0.9,1059,grecia,22,6,12,0
desgaste,kBeta,0.9,1060,grecia,22,6,12,0
desgaste,kBeta,0.9,1061,grecia,22,6,12,0
desgaste,kBeta,0.9,1062,galia,200,366,10,0
desgaste,kBeta,0.9,1063,galia,200,366,10,0
desgaste,kBeta,0.9,1064,galia,200,366,10,0
desgaste,kBeta,0.9,1065,galia,200,366,10,0
desgaste,kBeta,0.9,1066,galia,200,366,10,0
desgaste,kBeta,0.9,1067,galia,200,364,10,0
desgaste,kBeta,0.9,1068,galia,200,366,10,0
desgaste,kBeta,0.9,1069,galia,200,364,10,0
desgaste,kBeta,0.9,1070,galia,200,366,10,0
desgaste,kBeta,0.9,1071,galia,200,366,10,0
desgaste,kBeta,0.9,1072,galia,200,366,10,0
desgaste,kBeta,0.9,1073,grecia,22,6,12,0
desgaste,kBeta,0.9,1074,grecia,21,6,12,0
desgaste,kBeta,0.9,1075,galia,200,366,10,0
desgaste,kBeta,0.9,1076,galia,200,364,10,0
desgaste,kBeta,0.9,1077,galia,200,364,10,0
desgaste,kBeta,0.9,1078,grecia,21,8,11,0
desgaste,kBeta,0.9,1079,galia,200,358,9,0
desgaste,kBeta,0.9,1080,galia,200,366,10,0
desgaste,kBeta,0.9,1081,galia,200,366,10,0
desgaste,kBeta,0.9,1082,galia,200,358,9,0
desgaste,kBeta,0.9,1083,galia,200,364,10,0
desgaste,kBeta,0.9,1084,galia,200,364,10,0
desgaste,kBeta,0.9,1085,galia,200,366,10,0
desgaste,kBeta,0.9,1086,galia,200,366,10,0
desgaste,kBeta,0.9,1087,grecia,22,6,12,0
desgaste,kBeta,0.9,1088,galia,200,358,9,0
desgaste,kBeta,0.9,1089,galia,200,358,9,0
desgaste,kBeta,0.9,1090,galia,200,366,10,0
desgaste,kBeta,0.9,1091,galia,19,5,11,1281
desgaste,kBeta,0.9,1092,grecia,21,8,11,0
desgaste,kBeta,0.9,1093,grecia,21,8,11,0
desgaste,kBeta,0.9,1094,grecia,22,6,12,0
desgaste,kBeta,0.9,1095,grecia,22,6,12,0
desgaste,kBeta,0.9,1096,galia,200,364,10,0
desgaste,kBeta,0.9,1097,galia,19,5,11,1281
desgaste,kBeta,0.9,1098,grecia,21,8,11,0
desgaste,kBeta,0.9,1099,grecia,21,8,11,0
desgaste,kBeta,1,1000,galia,19,5,11,1281
desgaste,kBeta,1,1001,galia,200,366,10,0
desgaste,kBeta,1,1002,galia,200,364,10,0
desgaste,kBeta,1,1003,grecia,21,8,11,0
desgaste,kBeta,1,1004,grecia,21,6,12,0
desgaste,kBeta,1,1005,grecia,21,8,11,0
desgaste,kBeta,1,1006,galia,200,364,10,0
desgaste,kBeta,1,1007,grecia,21,8,11,0
desgaste,kBeta,1,1008,grecia,21,6,12,0
desgaste,kBeta,1,1009,grecia,22,6,12,0
desgaste,kBeta,1,1010,grecia,200,363,10,0
desgaste,kBeta,1,1011,grecia,22,6,12,0
desgaste,kBeta,1,1012,galia,200,358,9,0
desgaste,kBeta,1,1013,galia,200,366,10,0
desgaste,kBeta,1,1014,galia,200,366,10,0
desgaste,kBeta,1,1015,grecia,21,6,12,0
desgaste,kBeta,1,1016,galia,200,364,10,0
desgaste,kBeta,1,1017,grecia,22,6,12,0
desgaste,kBeta,1,1018,galia,200,366,10,0
desgaste,kBeta,1,1019,galia,200,366,10,0
desgaste,kBeta,1,1020,galia,200,366,10,0
desgaste,kBeta,1,1021,galia,200,366,10,0
desgaste,kBeta,1,1022,grecia,21,6,12,0
desgaste,kBeta,1,1023,grecia,200,363,10,0
desgaste,kBeta,1,1024,galia,200,364,10,0
desgaste,kBeta,1,1025,galia,200,364,10,0
desgaste,kBeta,1,1026,galia,19,5,11,1281
desgaste,kBeta,1,1027,galia,200,366,10,0
desgaste,kBeta,1,1028,galia,200,366,10,0
desgaste,kBeta,1,1029,galia,200,364,10,0
desgaste,kBeta,1,1030,grecia,22,6,12,0
desgaste,kBeta,1,1031,galia,200,364,10,0
desgaste,kBeta,1,1032,grecia,21,8,11,0
desgaste,kBeta,1,1033,grecia,22,6,12,0
desgaste,kBeta,1,1034,galia,200,366,10,0
desgaste,kBeta,1,1035,galia,200,364,10,0
desgaste,kBeta,1,1036,galia,200,366,10,0
desgaste,kBeta,1,1037,grecia,21,8,11,0
desgaste,kBeta,1,1038,grecia,22,6,12,0
desgaste,kBeta,1,1039,galia,200,366,10,0
desgaste,kBeta,1,1040,galia,200,366,10,0
desgaste,kBeta,1,1041,galia,200,366,10,0
desgaste,kBeta,1,1042,galia,200,366,10,0
desgaste,kBeta,1,1043,grecia,22,6,12,0
desgaste,kBeta,1,1044,galia,200,366,10,0
desgaste,kBeta,1,1045,galia,200,366,10,0
desgaste,kBeta,1,1046,grecia,21,8,11,0
desgaste,kBeta,1,1047,galia,200,366,10,0
desgaste,kBeta,1,1048,galia,200,364,10,0
desgaste,kBeta,1,1049,grecia,21,6,12,0
desgaste,kBeta,1,1050,galia,200,364,10,0
desgaste,kBeta,1,1051,galia,200,358,9,0
desgaste,kBeta,1,1052,grecia,19,3,11,1051
